Name,Website,LinkedIn,Primary Phone,Phone,Languages,Segment
TRACK&FIELD,http://www.tfco.com.br,http://www.linkedin.com/company/track-&-field,"{'number': '+55 11 2272-0485', 'source': 'Account', 'sanitized_number': '+551122720485'}",+55 11 2272-0485,Portuguese,
Unimed Porto Alegre,http://www.unimedpoa.com.br,http://www.linkedin.com/company/unimedportoalegre,"{'number': '+55 800 510 4646', 'source': 'Account', 'sanitized_number': '+558005104646'}",+55 800 510 4646,,
ADCOS IND. E COM.,http://www.lojaadcos.com.br,http://www.linkedin.com/company/adcosoficial,{},,Portuguese,
Nissin Foods do Brasil,http://www.nissin.com.br,http://www.linkedin.com/company/nissin-foods-do-brasil-ltda,"{'number': '+55 11 3094-5886', 'source': 'Account', 'sanitized_number': '+551130945886'}",+55 11 3094-5886,"English, Portuguese, Spanish",
Lojas Torra,http://www.lojastorra.com.br,http://www.linkedin.com/company/lojastorra,{},,,
Ativa Logística,http://www.ativalog.com.br,http://www.linkedin.com/company/ativalogistica,{},,Spanish,
Laticínios Tirol,http://www.tirol.com.br,http://www.linkedin.com/company/laticiniostirol,"{'number': '+55 800 643 7001', 'source': 'Scraped', 'sanitized_number': '+558006437001'}",+55 800 643 7001,,
Grupo Big - Brasil,http://www.big.com.br,http://www.linkedin.com/company/grupo-big-brasil,{},,,
SEST SENAT,http://www.sestsenat.org.br,http://www.linkedin.com/company/sestsenatbrasil,{},,,
AES Brasil,http://www.aesbrasil.com.br,http://www.linkedin.com/company/aes-brasil,{},,,
Altera&Ocyan,,http://www.linkedin.com/company/altera-ocyan,{},,,
ICL América do Sul,http://www.iclamericadosul.com,http://www.linkedin.com/company/icl-america-do-sul,{},,,
PetroReconcavo,http://www.petroreconcavo.com.br,http://www.linkedin.com/company/petroreconcavo,"{'number': '+55 800 071 8027', 'source': 'Scraped', 'sanitized_number': '+558000718027'}",+55 800 071 8027,,
Zilor,http://www.zilor.com.br,http://www.linkedin.com/company/zilor,"{'number': '+55 14 3269-9000', 'source': 'Account', 'sanitized_number': '+551432699000'}",+55 14 3269-9000,,
Maersk Supply Service,http://www.maersksupplyservice.com,http://www.linkedin.com/company/maersk-supply-service,"{'number': '+55 45 7373-7000', 'source': 'Owler', 'sanitized_number': '+554573737000'}",+55 45 7373-7000,English,
Coopercitrus,http://www.coopercitrus.com.br,http://www.linkedin.com/company/coopercitrus,"{'number': '+55 17 3344-3000', 'source': 'Account', 'sanitized_number': '+551733443000'}",+55 17 3344-3000,Portuguese,
Aliança Navegação e Logística,http://www.alianca.com.br,http://www.linkedin.com/company/aliancanavegacao,"{'number': '+55 800 522 2682', 'source': 'Scraped', 'sanitized_number': '+558005222682'}",+55 800 522 2682,,
J.Macêdo,http://www.jmacedo.com.br,http://www.linkedin.com/company/j.macedooficial,{},,Portuguese,
Perbras,http://www.perbras.com.br,http://www.linkedin.com/company/perbras,{},,English,
Biotrop Soluções Biológicas,http://www.biotrop.com.br,http://www.linkedin.com/company/biotropbr,"{'number': '+55 41 3099-7300', 'source': 'Owler', 'sanitized_number': '+554130997300'}",+55 41 3099-7300,,
CTG Brasil,http://www.ctgbr.com.br,http://www.linkedin.com/company/ctg-brasil,{},,,
Câmara de Comercialização de Energia Elétrica - CCEE (Chamber of Electric Energy Commercialization),http://www.ccee.org.br,http://www.linkedin.com/company/cc-ee,{},,,
Gran Services S.A.,http://www.granservices.com,http://www.linkedin.com/company/granservices,{},,,
dr.consulta,http://www.drconsulta.com,http://www.linkedin.com/company/drconsulta,"{'number': '+55 4000-1664', 'source': 'Scraped', 'sanitized_number': '+5540001664'}",+55 4000-1664,Portuguese,
Sequoia Soluções Logísticas,http://www.sequoialog.com.br,http://www.linkedin.com/company/sequoialog,"{'number': '+55 11 4391-8800', 'source': 'Owler', 'sanitized_number': '+551143918800'}",+55 11 4391-8800,Portuguese,
BP Bunge Bioenergia,,http://www.linkedin.com/company/bp-bioenergy-ofc,{},,,
Grupo Muffato,http://www.supermuffato.com.br,http://www.linkedin.com/company/grupomuffato,{},,Portuguese,
Agrex do Brasil S.A.,http://www.agrex.com.br,http://www.linkedin.com/company/agrexdobrasil,"{'number': '+55 62 3018-2700', 'source': 'Scraped', 'sanitized_number': '+556230182700'}",+55 62 3018-2700,Portuguese,
LongPing High-Tech,http://www.lpht.com.br,http://www.linkedin.com/company/longping-high-tech,{},,,
Seagems,http://www.seagems.com.br,http://www.linkedin.com/company/seagems-br,"{'number': '+55 21 3613-7600', 'source': 'Account', 'sanitized_number': '+552136137600'}",+55 21 3613-7600,,
Luft Logistics,http://www.luft.com.br,http://www.linkedin.com/company/luft-logistics,{},,,
Extrafarma,http://www.extrafarma.com.br,http://www.linkedin.com/company/extrafarma-imifarma,"{'number': '+55 11 3177-6513', 'source': 'Account', 'sanitized_number': '+551131776513'}",+55 11 3177-6513,Portuguese,
ID Logistics - Brasil,http://www.id-logistics.com,http://www.linkedin.com/company/id-logistics,"{'number': '+55 81 3637-6900', 'source': 'Owler', 'sanitized_number': '+558136376900'}",+55 81 3637-6900,,
Sapura Navegação Marítima S.A.,http://www.newsday1.club,http://www.linkedin.com/company/sapura-seagems,{},,Portuguese,
Elevadores Atlas Schindler (Brazil),http://www.schindler.com.br,http://www.linkedin.com/company/elevadores-atlas-schindler,"{'number': '+41 41 445 32 32', 'source': 'Scraped', 'sanitized_number': '+41414453232'}",+41 41 445 32 32,,
Translovato – Empresa da BBM Logística,http://www.translovato.com.br,http://www.linkedin.com/company/transportes-translovato,{},,,
Acelen,http://www.acelen.com.br,http://www.linkedin.com/company/acelen,{},,,
Belagrícola,http://www.belagricola.com.br,http://www.linkedin.com/company/belagricola,"{'number': '+55 43 3377-8500', 'source': 'Owler', 'sanitized_number': '+554333778500'}",+55 43 3377-8500,Portuguese,
DB Diagnósticos,http://www.diagnosticosdobrasil.com.br,http://www.linkedin.com/company/dbdiagnosticos,{},,Portuguese,
Lola Cosmetics®,http://www.lolacosmetics.com.br,http://www.linkedin.com/company/lolacosmetics,{},,Portuguese,
Vilma Alimentos,http://www.vilma.com.br,http://www.linkedin.com/company/vilma-alimentos,"{'number': '+55 800 701 5866', 'source': 'Scraped', 'sanitized_number': '+558007015866'}",+55 800 701 5866,,
Grupo EBD,http://www.ebdgrupo.com.br,http://www.linkedin.com/company/grupo-ebd,{},,,
Estrela Alimentos,http://www.frigoestrela.com.br,http://www.linkedin.com/company/estrela-alimentos,"{'number': '+55 17 3833-2800', 'source': 'Scraped', 'sanitized_number': '+551738332800'}",+55 17 3833-2800,Portuguese,
AMARO,http://www.amaro.com,http://www.linkedin.com/company/amaro,"{'number': '+55 11 3230-4500', 'source': 'Account', 'sanitized_number': '+551132304500'}",+55 11 3230-4500,Portuguese,
Copel - Companhia Paranaense de Energia,http://www.copel.com,http://www.linkedin.com/company/copel,"{'number': '+55 800 414 1810', 'source': 'Owler', 'sanitized_number': '+558004141810'}",+55 800 414 1810,,
Masterboi,http://www.masterboi.com.br,http://www.linkedin.com/company/masterboibrasil,{},,Portuguese,
IC Transportes,http://www.ictransportes.com.br,http://www.linkedin.com/company/ictransportes,"{'number': '+55 19 2101-9999', 'source': 'Scraped', 'sanitized_number': '+551921019999'}",+55 19 2101-9999,,
Boa Safra,http://www.boasafrasementes.com.br,http://www.linkedin.com/company/boasafrasementes,{},,,
Araguaia,http://www.araguaia.com.br,http://www.linkedin.com/company/araguaia,{},,,
BR Distribuidora,,http://www.linkedin.com/company/br-distribuidora,{},,,
Grupo Habib's,http://www.habibs.com.br,http://www.linkedin.com/company/habibsonline,{},,Portuguese,
Supermercados Pague Menos,http://www.superpaguemenos.com.br,http://www.linkedin.com/company/supermercadospaguemenos,"{'number': '+5511400332961140033548', 'source': 'Scraped', 'sanitized_number': None}",+5511400332961140033548,English,
DPA,http://www.dpabrasil.com.br,http://www.linkedin.com/company/dpa-brasil,"{'number': '+55 800 770 2460', 'source': 'Owler', 'sanitized_number': '+558007702460'}",+55 800 770 2460,,
Inbrands,http://www.inbrands.com.br,http://www.linkedin.com/company/inbrands,{},,Portuguese,
Expresso São Miguel,http://www.expressosaomiguel.com.br,http://www.linkedin.com/company/expresso-s%c3%a3o-miguel,{},,Portuguese,
Seconci-SP - Serviço Social da Construção Civil do Estado de São Paulo,http://www.seconci-sp.org.br,http://www.linkedin.com/company/seconcisp,"{'number': '+55 11 3664-5050', 'sanitized_number': '+551136645050', 'source': 'Account'}",+55 11 3664-5050,,
State Grid Brazil Holding S.A.,http://www.stategrid.com.br,http://www.linkedin.com/company/stategridbrazil,"{'number': '+55 21 2223-7341', 'source': 'Account', 'sanitized_number': '+552122237341'}",+55 21 2223-7341,Portuguese,
Rural Brasil,http://www.ruralbrasil.com,http://www.linkedin.com/company/rural-brasil,{},,,
Laticínios Porto Alegre,http://www.laticiniosportoalegre.com.br,http://www.linkedin.com/company/laticiniosportoalegre,"{'number': '+55 800 039 1439', 'source': 'Scraped', 'sanitized_number': '+558000391439'}",+55 800 039 1439,,
Agroceres,http://www.agroceres.com.br,http://www.linkedin.com/company/agroceres,"{'number': '+55 19 3526-8500', 'source': 'Scraped', 'sanitized_number': '+551935268500'}",+55 19 3526-8500,,
Fruki Bebidas,http://www.fruki.com.br,http://www.linkedin.com/company/fruki-bebidas,"{'number': '+55 51 3748-1500', 'source': 'Account', 'sanitized_number': '+555137481500'}",+55 51 3748-1500,Portuguese,
Origem Energia,http://www.origemenergia.com,http://www.linkedin.com/company/origem-energia,"{'number': '+55 800 121 0404', 'source': 'Owler', 'sanitized_number': '+558001210404'}",+55 800 121 0404,,
Telhanorte,http://www.telhanorte.com.br,http://www.linkedin.com/company/telhanortesaintgobain,{},,,
Delta Sucroenergia,http://www.deltasucroenergia.com.br,http://www.linkedin.com/company/deltasucroenergiasa,"{'number': '+55 34 3319-6400', 'sanitized_number': '+553433196400', 'source': 'Account'}",+55 34 3319-6400,,
Aramis,http://www.aramis.com.br,http://www.linkedin.com/company/aramis,"{'number': '+55 11 3611-5141', 'source': 'Account', 'sanitized_number': '+551136115141'}",+55 11 3611-5141,"Portuguese, English",
Etna Móveis e Decoração,http://www.guiapj.com.br,http://www.linkedin.com/company/etna-m%c3%b3veis-e-decora%c3%a7%c3%a3o,{},,Portuguese,
Casa & Video,http://www.casaevideo.com.br,http://www.linkedin.com/company/casa-&-video,{},,,
SJC Bioenergia,http://www.sjcbioenergia.com.br,http://www.linkedin.com/company/sjcbioenergia,"{'number': '+55 64 3615-9500', 'source': 'Account', 'sanitized_number': '+556436159500'}",+55 64 3615-9500,Portuguese,
Sequoia Capital,,http://www.linkedin.com/company/vittia,{},,,
Nortox S/A,http://www.nortox.com.br,http://www.linkedin.com/company/nortox-sa,"{'number': '+55 43 3274-8585', 'source': 'Account', 'sanitized_number': '+554332748585'}",+55 43 3274-8585,"English, German, Spanish, French, Italian, Japanese, Russian",
Eudora,http://www.eudora.com.br,http://www.linkedin.com/company/eudora,"{'number': '+55 800 727 4535', 'source': 'Owler', 'sanitized_number': '+558007274535'}",+55 800 727 4535,Portuguese,
Queiroz Galvão Óleo e Gás S.A.,http://www.qgog.com.br,http://www.linkedin.com/company/queiroz-galv-o-leo-e-g-s-s.a.,"{'number': '+55 21 3231-2500', 'source': 'Account', 'sanitized_number': '+552132312500'}",+55 21 3231-2500,,
KaBuM!,http://www.kabum.com.br,http://www.linkedin.com/company/kabum,"{'number': '+55 19 2114-4444', 'source': 'Owler', 'sanitized_number': '+551921144444'}",+55 19 2114-4444,Portuguese,
Grupo Águia Branca,http://www.gab.com.br,http://www.linkedin.com/company/grupo-aguia-branca,{},,Portuguese,
Ducoco,http://www.ducoco.com.br,http://www.linkedin.com/company/ducoco-alimentos,{},,Portuguese,
Unimed Grande Florianópolis,,http://www.linkedin.com/company/unimed-florianopolis,{},,,
Cocal,http://www.cocal.com.br,http://www.linkedin.com/company/cocal,"{'number': '+55 18 3361-8888', 'source': 'Account', 'sanitized_number': '+551833618888'}",+55 18 3361-8888,Portuguese,
Supermercados Mambo,http://www.mambo.com.br,http://www.linkedin.com/company/supermercados-mambo,{},,,
Bacio di Latte,http://www.baciodilatte.com.br,http://www.linkedin.com/company/bacio-di-latte,{},,Portuguese,
Cargolift Logística SA,http://www.cargolift.com.br,http://www.linkedin.com/company/cargolift-log-stica-sa,"{'number': '+55 41 2106-0700', 'source': 'Account', 'sanitized_number': '+554121060700'}",+55 41 2106-0700,,
Castrolanda Agroindustrial Cooperative,http://www.castrolanda.coop.br,http://www.linkedin.com/company/castrolanda,{},,,
Usina Coruripe Açúcar e Álcool,http://www.usinacoruripe.com.br,http://www.linkedin.com/company/usinacoruripe,"{'number': '+55 82 3217-2100', 'source': 'Owler', 'sanitized_number': '+558232172100'}",+55 82 3217-2100,,
Grupo Elfa,http://www.grupoelfa.com.br,http://www.linkedin.com/company/grupo-elfa,{},,"English, Portuguese",
Transpanorama Transportes,http://www.transpanorama.com.br,http://www.linkedin.com/company/transpanoramatransportes,{},,,
Rede Oba De Hortifruti,http://www.obahortifruti.com.br,http://www.linkedin.com/company/obahortifruti,{},,"Portuguese, Portuguese",
Home Center Ferreira Costa,http://www.ferreiracosta.com,http://www.linkedin.com/company/ferreiracosta,{},,,
Sestini,http://www.sestini.com,http://www.linkedin.com/company/sestini-mercantil,{},,Portuguese,
Emergent Cold LatAm,http://www.emergentcoldlatam.com,http://www.linkedin.com/company/emergentcoldlatam,"{'number': '+52 81 8196 0030', 'source': 'Scraped', 'sanitized_number': '+528181960030'}",+52 81 8196 0030,,
ATTO,http://www.attosementes.com.br,http://www.linkedin.com/company/attosementes,"{'number': '+55 66 3411-9900', 'source': 'Owler', 'sanitized_number': '+556634119900'}",+55 66 3411-9900,,
OXXO Brasil,http://www.oxxo.com.br,http://www.linkedin.com/company/oxxobrasil,{},,,
Kalunga SA,http://www.kalunga.com.br,http://www.linkedin.com/company/kalunga,{},,Portuguese,
Constance Calçados,http://www.constance.com.br,http://www.linkedin.com/company/constance-cal%c3%a7ados,"{'number': '+55 61 3242-1464', 'source': 'Account', 'sanitized_number': '+556132421464'}",+55 61 3242-1464,Portuguese,
COCARI - Cooperativa Agropecuária e Industrial,http://www.cocari.com.br,http://www.linkedin.com/company/cocaricoop,{},,,
Amend Cosméticos,http://www.amend.com.br,http://www.linkedin.com/company/amend-cosmeticos,"{'number': '+55 800 019 7473', 'source': 'Scraped', 'sanitized_number': '+558000197473'}",+55 800 019 7473,Portuguese,
Livraria Cultura,http://www.livrariacultura.com.br,http://www.linkedin.com/company/livraria-cultura,"{'number': '+55 11 3371-0100', 'source': 'Owler', 'sanitized_number': '+551133710100'}",+55 11 3371-0100,Portuguese,
Integrada Cooperativa Agroindustrial,http://www.integrada.coop.br,http://www.linkedin.com/company/cooperativaintegrada,{},,,
IBL LOGÍSTICA,http://www.ibllogistica.com.br,http://www.linkedin.com/company/ibl-log%c3%adstica,{},,,
AMC Textil Ltda,http://www.amctextil.com.br,http://www.linkedin.com/company/grupoamc,"{'number': '+55 47 3372-8500', 'sanitized_number': '+554733728500', 'source': 'Account'}",+55 47 3372-8500,Spanish,
Stara S/A - Indústria de Máquinas e Implementos Agrícolas,http://www.stara.com.br,http://www.linkedin.com/company/stara,"{'number': '+55 54 3332-2800', 'source': 'Account', 'sanitized_number': '+555433322800'}",+55 54 3332-2800,Portuguese,
Usina Alta Mogiana S/A,http://www.altamogiana.com.br,http://www.linkedin.com/company/usina-alta-mogiana-s-a,"{'number': '+55 16 3810-1000', 'sanitized_number': '+551638101000', 'source': 'Account'}",+55 16 3810-1000,English,
Refit,http://www.refit.com.br,http://www.linkedin.com/company/refitrefinaria,{},,,
Scheffer oficial,http://www.scheffer.agr.br,http://www.linkedin.com/company/scheffer-oficial,{},,,
Lins Agroindustrial,http://www.linsagro.com.br,http://www.linkedin.com/company/linsagroindustrial,"{'number': '+55 16 3505-8900', 'source': 'Scraped', 'sanitized_number': '+551635058900'}",+55 16 3505-8900,Portuguese,
COPLACANA - Orgulho do Agro,http://www.coplacana.com.br,http://www.linkedin.com/company/coplacana-orgulho-do-agro,{},,,
Grupo EPR,http://www.grupoepr.com.br,http://www.linkedin.com/company/grupoepr,"{'number': '+55 800 600 2385', 'source': 'Scraped', 'sanitized_number': '+558006002385'}",+55 800 600 2385,,
CLAMED - Cia Latino Americana de Medicamentos,http://www.clamed.com.br,http://www.linkedin.com/company/clamedfarmacias,"{'number': '+55 47 3461-9900', 'source': 'Account', 'sanitized_number': '+554734619900'}",+55 47 3461-9900,,
Grupo Vamos,http://www.vamos.com.br,http://www.linkedin.com/company/grupo-vamos,"{'number': '+55 800 025 4141', 'source': 'Owler', 'sanitized_number': '+558000254141'}",+55 800 025 4141,,
Salon Line Brasil,http://www.salonline.com.br,http://www.linkedin.com/company/salon-line-brasil,{},,Portuguese,
Hortifruti,http://www.hortifruti.com.br,http://www.linkedin.com/company/hortifrutinaturaldaterra,"{'number': '+55 27 2124-7676', 'source': 'Owler', 'sanitized_number': '+552721247676'}",+55 27 2124-7676,Portuguese,
Marimex,http://www.marimex.com.br,http://www.linkedin.com/company/marimex-intelig%c3%aancia-portu%c3%a1ria,{},,,
Panpharma Distribuidora de Medicamentos,,http://www.linkedin.com/company/grupo-panpharma,{},,,
Santa Lolla,http://www.totvs.app,http://www.linkedin.com/company/santa-lolla,"{'number': '+55 95 3623-2165', 'source': 'Account', 'sanitized_number': '+559536232165'}",+55 95 3623-2165,Portuguese,
Jalles,http://www.jalles.com,http://www.linkedin.com/company/jalles,{},,"English, Portuguese",
CRAFT,http://www.e-craft.com,http://www.linkedin.com/company/craft,{},,"Portuguese, English",
Grupo Fertipar,http://www.fertipar.com.br,http://www.linkedin.com/company/fertipar,"{'number': '+55 41 3026-9009', 'source': 'Scraped', 'sanitized_number': '+554130269009'}",+55 41 3026-9009,,
Santa Terezinha Power Plant,http://www.usacucar.com.br,http://www.linkedin.com/company/usinasantaterezinha,"{'number': '+55 44 3218-1900', 'source': 'Scraped', 'sanitized_number': '+554432181900'}",+55 44 3218-1900,Portuguese,
Metrô Rio,http://www.metrorio.com.br,http://www.linkedin.com/company/metr-rio,{},,,
Prumo,,http://www.linkedin.com/company/prumo-log%c3%adstica-s-a,"{'number': '+55 21 3725-8000', 'source': 'Owler', 'sanitized_number': '+552137258000'}",+55 21 3725-8000,,
Studio Z,http://www.stz.com.br,http://www.linkedin.com/company/studio-z-calcados,"{'number': '+55 800 648 0151', 'source': 'Scraped', 'sanitized_number': '+558006480151'}",+55 800 648 0151,,
Asia Shipping,http://www.asiashipping.co,http://www.linkedin.com/company/asia-shipping,{},,"English, German, Spanish, French, Italian, Japanese, Russian",
