Name,Website,LinkedIn,Primary Phone,Phone,Languages,Segment
Log-In Logística Integrada,http://www.loginlogistica.com.br,http://www.linkedin.com/company/loginlogisticaintegrada,"{'number': '+55 21 2111-6500', 'source': 'Account', 'sanitized_number': '+552121116500'}",+55 21 2111-6500,Portuguese,
Grupo SADA,http://www.gruposada.com.br,http://www.linkedin.com/company/grupo-sada-oficial,"{'number': '+55 31 98285-8424', 'source': 'Owler', 'sanitized_number': '+5531982858424'}",+55 31 98285-8424,,
Fast Shop S/A,http://www.fastshop.com.br,http://www.linkedin.com/company/fast-shop,"{'number': '+55 11 3003-3728', 'source': 'Owler', 'sanitized_number': '+551130033728'}",+55 11 3003-3728,"English, French",
Shoulder,http://www.shoulder.com.br,http://www.linkedin.com/company/shoulder,"{'number': '+55 11 3366-0040', 'source': 'Account', 'sanitized_number': '+551133660040'}",+55 11 3366-0040,Portuguese,
Grupo Malwee,http://www.grupomalwee.com.br,http://www.linkedin.com/company/grupomalwee,{},,Portuguese,
J&T Express Brasil,http://www.jtexpress.com.br,http://www.linkedin.com/company/jtexpressbrasil,{},,,
Agro Amazônia,http://www.agroamazonia.com.br,http://www.linkedin.com/company/agroamazonia,"{'number': '+55 65 3319-2000', 'source': 'Owler', 'sanitized_number': '+556533192000'}",+55 65 3319-2000,Portuguese,
TRACK&FIELD,http://www.tfco.com.br,http://www.linkedin.com/company/track-&-field,"{'number': '+55 11 2272-0485', 'source': 'Account', 'sanitized_number': '+551122720485'}",+55 11 2272-0485,Portuguese,
Restoque S/A,http://www.restoque.com.br,http://www.linkedin.com/company/restoque-sa,{},,,
Lojas Torra,http://www.lojastorra.com.br,http://www.linkedin.com/company/lojastorra,{},,,
Ativa Logística,http://www.ativalog.com.br,http://www.linkedin.com/company/ativalogistica,{},,Spanish,
Coopercarga,http://www.coopercarga.com.br,http://www.linkedin.com/company/coopercarga,{},,Portuguese,
DIA Brasil,http://www.dia.com.br,http://www.linkedin.com/company/dia-brasil,"{'number': '+55 800 695 1788', 'source': 'Scraped', 'sanitized_number': '+558006951788'}",+55 800 695 1788,Portuguese,
Grupo Big - Brasil,http://www.big.com.br,http://www.linkedin.com/company/grupo-big-brasil,{},,,
SEST SENAT,http://www.sestsenat.org.br,http://www.linkedin.com/company/sestsenatbrasil,{},,,
Grupo Autoglass,http://www.grupoautoglass.com.br,http://www.linkedin.com/company/grupoautoglass,{},,Portuguese,
Maersk Supply Service,http://www.maersksupplyservice.com,http://www.linkedin.com/company/maersk-supply-service,"{'number': '+55 45 7373-7000', 'source': 'Owler', 'sanitized_number': '+554573737000'}",+55 45 7373-7000,English,
Aliança Navegação e Logística,http://www.alianca.com.br,http://www.linkedin.com/company/aliancanavegacao,"{'number': '+55 800 522 2682', 'source': 'Scraped', 'sanitized_number': '+558005222682'}",+55 800 522 2682,,
Biotrop Soluções Biológicas,http://www.biotrop.com.br,http://www.linkedin.com/company/biotropbr,"{'number': '+55 41 3099-7300', 'source': 'Owler', 'sanitized_number': '+554130997300'}",+55 41 3099-7300,,
TPC Logística Inteligente,http://www.grupotpc.com,http://www.linkedin.com/company/tpc-logistica-inteligente,{},,,
Grupo Muffato,http://www.supermuffato.com.br,http://www.linkedin.com/company/grupomuffato,{},,Portuguese,
Agrex do Brasil S.A.,http://www.agrex.com.br,http://www.linkedin.com/company/agrexdobrasil,"{'number': '+55 62 3018-2700', 'source': 'Scraped', 'sanitized_number': '+556230182700'}",+55 62 3018-2700,Portuguese,
LongPing High-Tech,http://www.lpht.com.br,http://www.linkedin.com/company/longping-high-tech,{},,,
ALLOS,,http://www.linkedin.com/company/somosallos,{},,,
Bemol,http://www.bemol.com.br,http://www.linkedin.com/company/bemol,{},,Portuguese,
Brado Logística,http://www.brado.com.br,http://www.linkedin.com/company/bradologistica,{},,Portuguese,
Luft Logistics,http://www.luft.com.br,http://www.linkedin.com/company/luft-logistics,{},,,
Extrafarma,http://www.extrafarma.com.br,http://www.linkedin.com/company/extrafarma-imifarma,"{'number': '+55 11 3177-6513', 'source': 'Account', 'sanitized_number': '+551131776513'}",+55 11 3177-6513,Portuguese,
ID Logistics - Brasil,http://www.id-logistics.com,http://www.linkedin.com/company/id-logistics,"{'number': '+55 81 3637-6900', 'source': 'Owler', 'sanitized_number': '+558136376900'}",+55 81 3637-6900,,
Drogaria Araujo S/A,http://www.araujo.com.br,http://www.linkedin.com/company/drogaria-araujo-s-a,"{'number': '+1 256-512-0001', 'source': 'Scraped', 'sanitized_number': '+12565120001'}",+1 256-512-0001,Portuguese,
Grupo Dimed,http://www.dimed.eu,http://www.linkedin.com/company/grupodimed,{},,Portuguese,
AMARO,http://www.amaro.com,http://www.linkedin.com/company/amaro,"{'number': '+55 11 3230-4500', 'source': 'Account', 'sanitized_number': '+551132304500'}",+55 11 3230-4500,Portuguese,
Ruby Rose,http://www.rubyrose.com.br,http://www.linkedin.com/company/ruby-rose-cosm%c3%a9ticos,"{'number': '+55 11 94381-6993', 'source': 'Scraped', 'sanitized_number': '+5511943816993'}",+55 11 94381-6993,,
Ourofino Agrociência,http://www.ourofinoagro.com.br,http://www.linkedin.com/company/ourofinoagrociencia,{},,,
Boa Safra,http://www.boasafrasementes.com.br,http://www.linkedin.com/company/boasafrasementes,{},,,
Araguaia,http://www.araguaia.com.br,http://www.linkedin.com/company/araguaia,{},,,
Supermercados Pague Menos,http://www.superpaguemenos.com.br,http://www.linkedin.com/company/supermercadospaguemenos,"{'number': '+5511400332961140033548', 'source': 'Scraped', 'sanitized_number': None}",+5511400332961140033548,English,
Inbrands,http://www.inbrands.com.br,http://www.linkedin.com/company/inbrands,{},,Portuguese,
Tenda Atacado,http://www.tendaatacado.com.br,http://www.linkedin.com/company/tendaatacadooficial,"{'number': '+55 800 770 1878', 'source': 'Scraped', 'sanitized_number': '+558007701878'}",+55 800 770 1878,Portuguese,
Telhanorte,http://www.telhanorte.com.br,http://www.linkedin.com/company/telhanortesaintgobain,{},,,
Aramis,http://www.aramis.com.br,http://www.linkedin.com/company/aramis,"{'number': '+55 11 3611-5141', 'source': 'Account', 'sanitized_number': '+551136115141'}",+55 11 3611-5141,"Portuguese, English",
Etna Móveis e Decoração,http://www.guiapj.com.br,http://www.linkedin.com/company/etna-m%c3%b3veis-e-decora%c3%a7%c3%a3o,{},,Portuguese,
Casa & Video,http://www.casaevideo.com.br,http://www.linkedin.com/company/casa-&-video,{},,,
Sequoia Capital,,http://www.linkedin.com/company/vittia,{},,,
Fadel Transportes e Logística,http://www.fadeltransportes.com.br,http://www.linkedin.com/company/fadeltransportes,{},,Portuguese,
Nortox S/A,http://www.nortox.com.br,http://www.linkedin.com/company/nortox-sa,"{'number': '+55 43 3274-8585', 'source': 'Account', 'sanitized_number': '+554332748585'}",+55 43 3274-8585,"English, German, Spanish, French, Italian, Japanese, Russian",
KaBuM!,http://www.kabum.com.br,http://www.linkedin.com/company/kabum,"{'number': '+55 19 2114-4444', 'source': 'Owler', 'sanitized_number': '+551921144444'}",+55 19 2114-4444,Portuguese,
Grupo Águia Branca,http://www.gab.com.br,http://www.linkedin.com/company/grupo-aguia-branca,{},,Portuguese,
Angeloni,http://www.angeloni.com.br,http://www.linkedin.com/company/angeloni,{},,Portuguese,
Supermercados Mambo,http://www.mambo.com.br,http://www.linkedin.com/company/supermercados-mambo,{},,,
Cargolift Logística SA,http://www.cargolift.com.br,http://www.linkedin.com/company/cargolift-log-stica-sa,"{'number': '+55 41 2106-0700', 'source': 'Account', 'sanitized_number': '+554121060700'}",+55 41 2106-0700,,
Home Center Ferreira Costa,http://www.ferreiracosta.com,http://www.linkedin.com/company/ferreiracosta,{},,,
Sestini,http://www.sestini.com,http://www.linkedin.com/company/sestini-mercantil,{},,Portuguese,
Emergent Cold LatAm,http://www.emergentcoldlatam.com,http://www.linkedin.com/company/emergentcoldlatam,"{'number': '+52 81 8196 0030', 'source': 'Scraped', 'sanitized_number': '+528181960030'}",+52 81 8196 0030,,
OXXO Brasil,http://www.oxxo.com.br,http://www.linkedin.com/company/oxxobrasil,{},,,
TORA,http://www.tora.com.br,http://www.linkedin.com/company/toralogistica,"{'number': '+55 31 2191-2466', 'source': 'Account', 'sanitized_number': '+553121912466'}",+55 31 2191-2466,,
Kalunga SA,http://www.kalunga.com.br,http://www.linkedin.com/company/kalunga,{},,Portuguese,
Constance Calçados,http://www.constance.com.br,http://www.linkedin.com/company/constance-cal%c3%a7ados,"{'number': '+55 61 3242-1464', 'source': 'Account', 'sanitized_number': '+556132421464'}",+55 61 3242-1464,Portuguese,
COCARI - Cooperativa Agropecuária e Industrial,http://www.cocari.com.br,http://www.linkedin.com/company/cocaricoop,{},,,
Livraria Cultura,http://www.livrariacultura.com.br,http://www.linkedin.com/company/livraria-cultura,"{'number': '+55 11 3371-0100', 'source': 'Owler', 'sanitized_number': '+551133710100'}",+55 11 3371-0100,Portuguese,
Lopes Supermercados,http://www.superlopes.com.br,http://www.linkedin.com/company/lopes-supermercados,"{'number': '+55 11 2423-2886', 'source': 'Scraped', 'sanitized_number': '+551124232886'}",+55 11 2423-2886,Portuguese,
Osklen,http://www.osklen.com.br,http://www.linkedin.com/company/osklen,{},,English,
Grupo Saga,http://www.gruposaga.com.br,http://www.linkedin.com/company/gruposagaoficial,{},,Portuguese,
IBL LOGÍSTICA,http://www.ibllogistica.com.br,http://www.linkedin.com/company/ibl-log%c3%adstica,{},,,
AMC Textil Ltda,http://www.amctextil.com.br,http://www.linkedin.com/company/grupoamc,"{'number': '+55 47 3372-8500', 'sanitized_number': '+554733728500', 'source': 'Account'}",+55 47 3372-8500,Spanish,
Lunelli,http://www.lunelli.com.br,http://www.linkedin.com/company/lunelli,"{'number': '+55 47 3373-7000', 'source': 'Scraped', 'sanitized_number': '+554733737000'}",+55 47 3373-7000,"Portuguese, English, Portuguese, Spanish, English, Portuguese, Spanish, English, Portuguese, Spanish",
Grupo Koch,,http://www.linkedin.com/company/koch-hipermercado-ltda,{},,,
G2L LOGÍSTICA,http://www.logisticag2l.com.br,http://www.linkedin.com/company/logisticag2l,{},,,
CLAMED - Cia Latino Americana de Medicamentos,http://www.clamed.com.br,http://www.linkedin.com/company/clamedfarmacias,"{'number': '+55 47 3461-9900', 'source': 'Account', 'sanitized_number': '+554734619900'}",+55 47 3461-9900,,
Hortifruti,http://www.hortifruti.com.br,http://www.linkedin.com/company/hortifrutinaturaldaterra,"{'number': '+55 27 2124-7676', 'source': 'Owler', 'sanitized_number': '+552721247676'}",+55 27 2124-7676,Portuguese,
Marimex,http://www.marimex.com.br,http://www.linkedin.com/company/marimex-intelig%c3%aancia-portu%c3%a1ria,{},,,
Panpharma Distribuidora de Medicamentos,,http://www.linkedin.com/company/grupo-panpharma,{},,,
Santa Lolla,http://www.totvs.app,http://www.linkedin.com/company/santa-lolla,"{'number': '+55 95 3623-2165', 'source': 'Account', 'sanitized_number': '+559536232165'}",+55 95 3623-2165,Portuguese,
CRAFT,http://www.e-craft.com,http://www.linkedin.com/company/craft,{},,"Portuguese, English",
Norsul,http://www.norsul.com,http://www.linkedin.com/company/norsul,"{'number': '+55 21 2139-0505', 'source': 'Account', 'sanitized_number': '+552121390505'}",+55 21 2139-0505,"English, Portuguese",
Prumo,,http://www.linkedin.com/company/prumo-log%c3%adstica-s-a,"{'number': '+55 21 3725-8000', 'source': 'Owler', 'sanitized_number': '+552137258000'}",+55 21 3725-8000,,
Studio Z,http://www.stz.com.br,http://www.linkedin.com/company/studio-z-calcados,"{'number': '+55 800 648 0151', 'source': 'Scraped', 'sanitized_number': '+558006480151'}",+55 800 648 0151,,
Asia Shipping,http://www.asiashipping.co,http://www.linkedin.com/company/asia-shipping,{},,"English, German, Spanish, French, Italian, Japanese, Russian",
Lojas Quero-Quero S.A.,http://www.quero-quero.com.br,http://www.linkedin.com/company/lojas-quero-quero-s-a,{},,"Portuguese, Portuguese",
REITERLOG,http://www.reiterlog.com,http://www.linkedin.com/company/reiterlog,"{'number': '+55 51 3479-4100', 'sanitized_number': '+555134794100', 'source': 'Account'}",+55 51 3479-4100,,
Swift,http://www.swift.com.br,http://www.linkedin.com/company/lojaswift,"{'number': '+55 800 400 2892', 'source': 'Scraped', 'sanitized_number': '+558004002892'}",+55 800 400 2892,,
Solinftec,http://www.solinftec.com,http://www.linkedin.com/company/solinftec,"{'number': '+1 765-269-4733', 'source': 'Owler', 'sanitized_number': '+17652694733'}",+1 765-269-4733,Portuguese,
Fiorde Logística Internacional,http://www.fiorde.com.br,http://www.linkedin.com/company/grupofiorde,"{'number': '+55 11 3218-7000', 'source': 'Scraped', 'sanitized_number': '+551132187000'}",+55 11 3218-7000,,
Agrivalle Brasil,http://www.agrivalle.com.br,http://www.linkedin.com/company/agrivallebrasil,"{'number': '+55 11 4028-6437', 'source': 'Owler', 'sanitized_number': '+551140286437'}",+55 11 4028-6437,Portuguese,
Novo Mundo Móveis e Utilidades,http://www.novomundo.com.br,http://www.linkedin.com/company/novo-mundo-sa,{},,Portuguese,
Triunfo Logística,http://www.triunfologistica.com.br,http://www.linkedin.com/company/triunfo-logistica,"{'number': '+55 21 2178-8800', 'source': 'Owler', 'sanitized_number': '+552121788800'}",+55 21 2178-8800,"English, Portuguese",
La Moda,http://www.lamoda.com.br,http://www.linkedin.com/company/la-moda,{},,Portuguese,
Loungerie S.A.,http://www.loungerie.com.br,http://www.linkedin.com/company/loungerie-intimates,{},,Portuguese,
Loja do Mecânico,http://www.lojadomecanico.com.br,http://www.linkedin.com/company/loja-do-mecanico,"{'number': '+55 11 3508-9979', 'source': 'Account', 'sanitized_number': '+551135089979'}",+55 11 3508-9979,Portuguese,
Expresso Nepomuceno S/A,http://www.expressonepomuceno.com.br,http://www.linkedin.com/company/expressonepomuceno,"{'number': '+55 35 3694-9900', 'sanitized_number': '+553536949900', 'source': 'Account'}",+55 35 3694-9900,,
St Marche,http://www.marche.com.br,http://www.linkedin.com/company/stmarche,"{'number': '+55 11 3124-3399', 'source': 'Owler', 'sanitized_number': '+551131243399'}",+55 11 3124-3399,,
Grupo DPaschoal,http://www.dpaschoal.com.br,http://www.linkedin.com/company/dpaschoal1,{},,Portuguese,
Maria Filó,http://www.mariafilo.com.br,http://www.linkedin.com/company/mariafilo,{},,Portuguese,
TW Logistics,http://www.twtransportes.com.br,http://www.linkedin.com/company/twtransportes,{},,Portuguese,
Grupo Kyly,http://www.grupokyly.com.br,http://www.linkedin.com/company/grupo-kyly,"{'number': '+55 800 644 0006', 'source': 'Scraped', 'sanitized_number': '+558006440006'}",+55 800 644 0006,Portuguese,
SERVIMED Comercial LTDA,http://www.servimed.com.br,http://www.linkedin.com/company/servimedoficial,"{'number': '+55 800 703 1020', 'sanitized_number': '+558007031020', 'source': 'Scraped'}",+55 800 703 1020,,
Movecta,http://www.movecta.com.br,http://www.linkedin.com/company/movecta,"{'number': '+55 11 5056-9544', 'source': 'Scraped', 'sanitized_number': '+551150569544'}",+55 11 5056-9544,,
Gafor,http://www.gafor.com.br,http://www.linkedin.com/company/gafor,"{'number': '+55 11 2107-3100', 'source': 'Scraped', 'sanitized_number': '+551121073100'}",+55 11 2107-3100,,
Lojas Le biscuit S/A,http://www.lebiscuit.com.br,http://www.linkedin.com/company/lojas-le-biscuit-s-a,"{'number': '4090-1730', 'source': 'Owler', 'sanitized_number': '+40901730'}",4090-1730,Portuguese,
Fortbras,http://www.fortbras.com.br,http://www.linkedin.com/company/fortbras,"{'number': '+55 800 591 1036', 'source': 'Scraped', 'sanitized_number': '+558005911036'}",+55 800 591 1036,,
Timbro Trading,http://www.timbrotrading.com,http://www.linkedin.com/company/timbro-trading,"{'number': '+55 11 4302-2100', 'source': 'Account', 'sanitized_number': '+551143022100'}",+55 11 4302-2100,Portuguese,
MRO,http://www.mroativa.com.br,http://www.linkedin.com/company/mro-logistics,"{'number': '+55 21 3125-9800', 'source': 'Account', 'sanitized_number': '+552131259800'}",+55 21 3125-9800,Portuguese,
Br Supply Suprimentos Corporativos,http://www.brsupply.com.br,http://www.linkedin.com/company/brsupply-suprimentos-corporativos,{},,Portuguese,
Cooperativa Agroindustrial Copagril,http://www.copagril.com.br,http://www.linkedin.com/company/cooperativa-agroindustrial-copagril-,"{'number': '+55 45 3284-7500', 'source': 'Scraped', 'sanitized_number': '+554532847500'}",+55 45 3284-7500,,
Grupo Amigão,http://www.grupoamigao.com,http://www.linkedin.com/company/grupoamig%c3%a3o,{},,,
Frigelar,http://www.frigelar.com.br,http://www.linkedin.com/company/frigelar,{},,Portuguese,
Sementes Jotabasso,http://www.jotabasso.com.br,http://www.linkedin.com/company/sementesjotabasso,"{'number': '+55656634394900', 'source': 'Scraped', 'sanitized_number': None}",+55656634394900,,
Leo Madeiras,http://www.leomadeiras.com.br,http://www.linkedin.com/company/leo-madeiras,"{'number': '+55 800 591 0127', 'source': 'Scraped', 'sanitized_number': '+558005910127'}",+55 800 591 0127,Portuguese,
TES - Terminal Exportador de Santos,,http://www.linkedin.com/company/tegteagtes,{},,,
Ancar Ivanhoe,http://www.ancar.com.br,http://www.linkedin.com/company/ancar-ivanhoe,{},,English,
Grupo Tapajós,http://www.santoremedio.com.br,http://www.linkedin.com/company/grupo-tapajos,"{'number': '+55 92 3212-8000', 'source': 'Scraped', 'sanitized_number': '+559232128000'}",+55 92 3212-8000,,
Ferroport,http://www.ferroport.com.br,http://www.linkedin.com/company/ferroport,"{'number': '+55 21 3440-3850', 'source': 'Account', 'sanitized_number': '+552134403850'}",+55 21 3440-3850,Portuguese,
Transportes Bertolini Ltda.,http://www.tbl.com.br,http://www.linkedin.com/company/tbl-br,"{'number': '+55 54 2102-3000', 'source': 'Scraped', 'sanitized_number': '+555421023000'}",+55 54 2102-3000,"English, Portuguese, Spanish",
TNG Comércio de Roupas Ltda.,http://www.tngvirtual.com.br,http://www.linkedin.com/company/tng-com-rcio-de-roupas-ltda-,{},,Portuguese,
Refrigeração Dufrio,http://www.dufrio.com.br,http://www.linkedin.com/company/dufriorefrigeracao,"{'number': '+55 800 008 8500', 'source': 'Scraped', 'sanitized_number': '+558000088500'}",+55 800 008 8500,Portuguese,
Grupo Herval,http://www.herval.com.br,http://www.linkedin.com/company/grupoherval,"{'number': '+55 51 3564-8300', 'source': 'Scraped', 'sanitized_number': '+555135648300'}",+55 51 3564-8300,,
Luft Healthcare,,http://www.linkedin.com/company/lufthealthcare,{},,,
Grupo São Vicente,http://www.svicente.com.br,http://www.linkedin.com/company/svicente,"{'number': '+55 19 99642-6734', 'source': 'Scraped', 'sanitized_number': '+5519996426734'}",+55 19 99642-6734,Portuguese,
Savegnago Supermercados,http://www.savegnago.com.br,http://www.linkedin.com/company/gruposavegnago,{},,,
ROCHA Port Terminals and Logistics,http://www.rochalog.com.br,http://www.linkedin.com/company/rocha-terminais-portuarios-logistica,"{'number': '+55 41 3420-2300', 'source': 'Account', 'sanitized_number': '+554134202300'}",+55 41 3420-2300,English,
Nortel Suprimentos Industriais S.A.,http://www.nortel.com.br,http://www.linkedin.com/company/nortel-suprimentos-industriais-s.a.,"{'number': '+55 19 2102-7700', 'source': 'Owler', 'sanitized_number': '+551921027700'}",+55 19 2102-7700,Portuguese,
Inquima - Nutrição e Agrotecnologia,http://www.inquima.com.br,http://www.linkedin.com/company/grupoinquima,"{'number': '+55 800 701 6826', 'source': 'Scraped', 'sanitized_number': '+558007016826'}",+55 800 701 6826,Portuguese,
Gazin,http://www.grupogazin.com.br,http://www.linkedin.com/company/gazin,"{'number': '+55 800 643 6809', 'source': 'Scraped', 'sanitized_number': '+558006436809'}",+55 800 643 6809,,
TCP Terminal de Contêineres de Paranaguá,http://www.tcp.com.br,http://www.linkedin.com/company/terminalconteineresparanagua,"{'number': '+55 41 2152-5800', 'source': 'Account', 'sanitized_number': '+554121525800'}",+55 41 2152-5800,Portuguese,
Spani Atacadista,http://www.spanionline.com.br,http://www.linkedin.com/company/spani-atacadista,{},,Portuguese,
C&C Casa e Construção,http://www.cec.com.br,http://www.linkedin.com/company/c&c-casa-e-constru-o,{},,Portuguese,
ORÍGEO,http://www.origeo.com,http://www.linkedin.com/company/origeooficial,{},,,
Grupo Itavema,http://www.itavema.com.br,http://www.linkedin.com/company/grupo-itavema,"{'number': '+55 21 2038-0990', 'source': 'Scraped', 'sanitized_number': '+552120380990'}",+55 21 2038-0990,Portuguese,
Monte Carlo,http://www.montecarlo.com.br,http://www.linkedin.com/company/monte-carlo-joias,"{'number': '+55 21 2239-3136', 'source': 'Account', 'sanitized_number': '+552122393136'}",+55 21 2239-3136,Portuguese,
Ocean Network Express Latin America,,http://www.linkedin.com/company/one-latinamerica,{},,,
Farmácias Nissei,http://www.nisseilabs.com.br,http://www.linkedin.com/company/farmaciasnissei,{},,,
ASICS LATIN AMERICA,http://www.asics.com.br,http://www.linkedin.com/company/asics-latin-america,{},,,
Porto Sudeste,http://www.portosudeste.com,http://www.linkedin.com/company/portosudeste,{},,"English, Portuguese",
Mart Minas Atacado e Varejo,http://www.martminas.com.br,http://www.linkedin.com/company/martminasatacadoevarejo,{},,Portuguese,
Aliansce Sonae Shopping Centers,,http://www.linkedin.com/company/aliansce-sonae-shopping-centers,{},,"English, Portuguese, Portuguese, Portuguese",
Lojas Colombo S/A,http://www.colombo.com.br,http://www.linkedin.com/company/lojas-colombo-s-a,"{'number': '+55 800 642 4242', 'source': 'Scraped', 'sanitized_number': '+558006424242'}",+55 800 642 4242,Portuguese,
Mantiqueira Brasil,http://www.mantiqueirabrasil.com.br,http://www.linkedin.com/company/mantiqueirabrasil,"{'number': '+55 21 99718-8543', 'source': 'Owler', 'sanitized_number': '+5521997188543'}",+55 21 99718-8543,Portuguese,
BR BRANDS - MERHEJE,http://www.merheje.com.br,http://www.linkedin.com/company/merheje,"{'number': '+55 11 4195-4499', 'source': 'Account', 'sanitized_number': '+551141954499'}",+55 11 4195-4499,,
Drogaria Onofre,http://www.onofre.com.br,http://www.linkedin.com/company/drogaria-onofre,{},,Portuguese,
Lojas Leader,http://www.leader.com.br,http://www.linkedin.com/company/lo-jas-le-a-der,{},,,
Drogaria Venancio,,http://www.linkedin.com/company/drogariavenancio,{},,,
Sonda Supermercados,http://www.sondadelivery.com.br,http://www.linkedin.com/company/sondasupermercados,{},,Portuguese,
Bravo - Serviços Logísticos,http://www.bravolog.com.br,http://www.linkedin.com/company/bravologistica,{},,Portuguese,
Empresas SIM,http://www.simrede.com.br,http://www.linkedin.com/company/empresas-sim,{},,Portuguese,
Porto Itapoa,http://www.portoitapoa.com,http://www.linkedin.com/company/porto-itapoa,"{'number': '+55 47 3443-8500', 'source': 'Account', 'sanitized_number': '+554734438500'}",+55 47 3443-8500,,
